transient_index,timestamp_s,strength,strength_rounded
1,2.432,0.8752537,0.88
2,2.517333,0.17508537,0.18
3,2.816,1.0,1.0
4,3.264,0.48966813,0.49
5,3.626667,0.5989195,0.6
6,3.968,0.9001275,0.9
7,4.330667,0.65003115,0.65
8,4.714667,0.80087864,0.8
9,5.056,0.5679901,0.57
10,5.376,0.81467354,0.81
11,5.717333,0.2063253,0.21
12,5.781333,0.22625446,0.23
13,6.101333,0.6423804,0.64
14,6.357333,0.14630497,0.15
15,6.4,0.27789336,0.28
16,6.677333,0.90799093,0.91
17,7.104,0.15054327,0.15
18,7.424,0.9748626,0.97
19,8.085333,0.40446255,0.4
20,8.448,0.18468255,0.18
21,8.768,0.749603,0.75
22,9.130667,0.5386273,0.54
23,9.429333,0.69800097,0.7
24,9.962667,0.8802118,0.88
25,10.282667,0.44151676,0.44
26,10.581333,0.56689835,0.57
27,10.794667,0.14739867,0.15
28,11.157333,0.7744557,0.77
29,11.434667,0.36199328,0.36
30,11.712,0.52785474,0.53
31,12.202667,0.6733383,0.67
32,12.522667,0.4928557,0.49
33,12.8,0.7999475,0.8
34,13.077333,0.4753783,0.48
35,13.376,0.871163,0.87
36,13.610667,0.5279989,0.53
37,13.973333,0.47006118,0.47
38,14.144,0.6002298,0.6
39,14.464,0.6544156,0.65
40,14.72,0.8154778,0.82
41,14.997333,0.50369585,0.5
42,15.274667,0.2613736,0.26
43,15.573333,0.8377002,0.84
44,15.872,0.5580753,0.56
45,16.085333,0.72795737,0.73
